CityStation,Variable,ObsCount,DataStatus
Aachen_Background,Average,17,Sufficient
Aachen_Traffic,Average,17,Sufficient
Aalen_Background,Average,18,Sufficient
Altenburg_Background,Average,8,Insufficient
Altenburg_Traffic,Average,10,Sufficient
Ansbach_Traffic,Average,17,Sufficient
Arnstadt_Background,Average,2,Insufficient
Aschaffenburg_Background,Average,17,Sufficient
Aschersleben_Traffic,Average,18,Sufficient
Augsburg_Background,Average,17,Sufficient
Augsburg_Traffic,Average,17,Sufficient
Backnang_Traffic,Average,6,Insufficient
Bad Salzuflen_Traffic,Average,1,Insufficient
Bad Waldsee_Background,Average,1,Insufficient
Baden-Baden_Background,Average,18,Sufficient
Balingen_Traffic,Average,6,Insufficient
Bamberg_Background,Average,17,Sufficient
Bayreuth_Traffic,Average,17,Sufficient
Berlin_Background,Average,18,Sufficient
Berlin_Industrial,Average,10,Sufficient
Berlin_Traffic,Average,18,Sufficient
Bernau bei Berlin_Background,Average,8,Insufficient
Bernau bei Berlin_Traffic,Average,15,Sufficient
Bernburg (Saale)_Background,Average,8,Insufficient
Bernburg (Saale)_Traffic,Average,10,Sufficient
Biberach an der Riß_Background,Average,18,Sufficient
Bielefeld_Background,Average,17,Sufficient
Bielefeld_Traffic,Average,15,Sufficient
Bietigheim-Bissingen_Traffic,Average,10,Sufficient
Bitterfeld-Wolfen_Industrial,Average,14,Sufficient
Bochum_Traffic,Average,11,Sufficient
Bonn_Background,Average,17,Sufficient
Bonn_Traffic,Average,12,Sufficient
Borken_Background,Average,17,Sufficient
Bottrop_Industrial,Average,17,Sufficient
Bottrop_Traffic,Average,12,Sufficient
Brandenburg an der Havel_Background,Average,18,Sufficient
Brandenburg an der Havel_Traffic,Average,18,Sufficient
Braunschweig_Background,Average,18,Sufficient
Braunschweig_Traffic,Average,16,Sufficient
Bremen_Background,Average,18,Sufficient
Bremen_Industrial,Average,11,Sufficient
Bremen_Traffic,Average,18,Sufficient
Bremerhaven_Background,Average,18,Sufficient
Bremerhaven_Traffic,Average,14,Sufficient
Burg_Background,Average,18,Sufficient
Burgdorf_Traffic,Average,6,Insufficient
Böblingen_Background,Average,3,Insufficient
Calw_Background,Average,1,Insufficient
Castrop-Rauxel_Industrial,Average,2,Insufficient
Castrop-Rauxel_Traffic,Average,2,Insufficient
Celle_Traffic,Average,3,Insufficient
Coburg_Traffic,Average,10,Sufficient
Cottbus_Background,Average,18,Sufficient
Cottbus_Traffic,Average,18,Sufficient
Cuxhaven_Background,Average,18,Sufficient
Darmstadt_Background,Average,18,Sufficient
Darmstadt_Traffic,Average,18,Sufficient
Datteln_Background,Average,17,Sufficient
Dessau-Roßlau_Traffic,Average,13,Sufficient
Dinslaken_Traffic,Average,12,Sufficient
Dormagen_Background,Average,4,Insufficient
Dortmund_Background,Average,17,Sufficient
Dortmund_Traffic,Average,17,Sufficient
Duderstadt_Background,Average,18,Sufficient
Duisburg_Background,Average,4,Insufficient
Duisburg_Industrial,Average,17,Sufficient
Duisburg_Traffic,Average,17,Sufficient
Düren_Traffic,Average,11,Sufficient
Düsseldorf_Background,Average,17,Sufficient
Düsseldorf_Traffic,Average,17,Sufficient
Eberswalde_Traffic,Average,15,Sufficient
Eisenach_Background,Average,18,Sufficient
Eisenhüttenstadt_Industrial,Average,18,Sufficient
Elsdorf_Industrial,Average,7,Insufficient
Emden_Background,Average,18,Sufficient
Erfurt_Background,Average,18,Sufficient
Erfurt_Traffic,Average,18,Sufficient
Erlangen_Background,Average,17,Sufficient
Erlangen_Traffic,Average,8,Insufficient
Eschweiler_Industrial,Average,1,Insufficient
Eschweiler_Traffic,Average,11,Sufficient
Essen_Background,Average,17,Sufficient
Essen_Industrial,Average,1,Insufficient
Essen_Traffic,Average,17,Sufficient
Esslingen am Neckar_Background,Average,1,Insufficient
Esslingen am Neckar_Traffic,Average,6,Insufficient
Fellbach_Background,Average,1,Insufficient
Filderstadt_Background,Average,18,Sufficient
Flensburg_Traffic,Average,13,Sufficient
Frankenthal (Pfalz)_Traffic,Average,5,Insufficient
Frankfurt (Oder)_Background,Average,18,Sufficient
Frankfurt (Oder)_Traffic,Average,18,Sufficient
Frankfurt am Main_Background,Average,18,Sufficient
Frankfurt am Main_Traffic,Average,18,Sufficient
Freiburg im Breisgau_Background,Average,18,Sufficient
Freiburg im Breisgau_Traffic,Average,18,Sufficient
Freudenstadt_Background,Average,8,Insufficient
Friedrichshafen_Background,Average,8,Insufficient
Friedrichshafen_Traffic,Average,11,Sufficient
Fulda_Background,Average,16,Sufficient
Fulda_Traffic,Average,18,Sufficient
Fürth_Background,Average,17,Sufficient
Fürth_Traffic,Average,11,Sufficient
Garmisch-Partenkirchen_Background,Average,17,Sufficient
Geislingen an der Steige_Traffic,Average,3,Insufficient
Gelsenkirchen_Background,Average,17,Sufficient
Gelsenkirchen_Traffic,Average,11,Sufficient
Gera_Background,Average,18,Sufficient
Gera_Traffic,Average,13,Sufficient
Gevelsberg_Traffic,Average,9,Sufficient
Gießen_Background,Average,5,Insufficient
Gießen_Traffic,Average,16,Sufficient
Gladbeck_Traffic,Average,11,Sufficient
Goslar_Background,Average,18,Sufficient
Gotha_Traffic,Average,1,Insufficient
Greiz_Background,Average,18,Sufficient
Grevenbroich_Industrial,Average,8,Insufficient
Göppingen_Background,Average,1,Insufficient
Göttingen_Background,Average,18,Sufficient
Göttingen_Traffic,Average,15,Sufficient
Güstrow_Background,Average,17,Sufficient
Hagen_Traffic,Average,17,Sufficient
Halberstadt_Background,Average,18,Sufficient
Halberstadt_Traffic,Average,12,Sufficient
Halle (Saale)_Background,Average,18,Sufficient
Halle (Saale)_Traffic,Average,18,Sufficient
Halle (Westf.)_Traffic,Average,11,Sufficient
Hameln_Traffic,Average,12,Sufficient
Hamm_Traffic,Average,10,Sufficient
Hanau_Background,Average,8,Insufficient
Hanau_Traffic,Average,10,Sufficient
Hannover_Background,Average,18,Sufficient
Hannover_Traffic,Average,18,Sufficient
Hattingen_Background,Average,17,Sufficient
Heidelberg_Background,Average,8,Insufficient
Heidelberg_Traffic,Average,18,Sufficient
Heidenheim an der Brenz_Background,Average,1,Insufficient
Heidenheim an der Brenz_Traffic,Average,12,Sufficient
Heilbronn_Background,Average,8,Insufficient
Heilbronn_Traffic,Average,18,Sufficient
Herne_Traffic,Average,11,Sufficient
Herrenberg_Traffic,Average,14,Sufficient
Herten_Traffic,Average,2,Insufficient
Hildesheim_Traffic,Average,11,Sufficient
Hof_Background,Average,17,Sufficient
Horb am Neckar_Background,Average,1,Insufficient
Hürth_Industrial,Average,17,Sufficient
Hürth_Traffic,Average,11,Sufficient
Ilmenau_Background,Average,1,Insufficient
Ingolstadt_Traffic,Average,17,Sufficient
Iserlohn_Traffic,Average,3,Insufficient
Jena_Background,Average,18,Sufficient
Jena_Traffic,Average,16,Sufficient
Jüchen_Industrial,Average,7,Insufficient
Kaiserslautern_Background,Average,5,Insufficient
Kaiserslautern_Traffic,Average,5,Insufficient
Kamen_Traffic,Average,8,Insufficient
Karlsruhe_Background,Average,18,Sufficient
Karlsruhe_Traffic,Average,18,Sufficient
Kassel_Background,Average,14,Sufficient
Kassel_Traffic,Average,18,Sufficient
Kehl_Background,Average,2,Insufficient
Kehl_Industrial,Average,18,Sufficient
Kempten (Allgäu)_Background,Average,17,Sufficient
Kerpen_Industrial,Average,1,Insufficient
Kiel_Background,Average,13,Sufficient
Kiel_Traffic,Average,13,Sufficient
Koblenz_Traffic,Average,5,Insufficient
Konstanz_Background,Average,17,Sufficient
Krefeld_Background,Average,1,Insufficient
Krefeld_Industrial,Average,15,Sufficient
Krefeld_Traffic,Average,11,Sufficient
Kulmbach_Background,Average,17,Sufficient
Köln_Background,Average,17,Sufficient
Köln_Traffic,Average,15,Sufficient
Königs Wusterhausen_Background,Average,11,Sufficient
Lahr/Schwarzwald_Traffic,Average,2,Insufficient
Landshut_Traffic,Average,17,Sufficient
Leinefelde-Worbis_Background,Average,1,Insufficient
Leinfelden-Echterdingen_Traffic,Average,5,Insufficient
Leonberg_Traffic,Average,16,Sufficient
Leverkusen_Background,Average,17,Sufficient
Leverkusen_Traffic,Average,5,Insufficient
Lindau (Bodensee)_Traffic,Average,17,Sufficient
Lingen (Ems)_Background,Average,18,Sufficient
Luckenwalde_Background,Average,3,Insufficient
Ludwigsburg_Background,Average,18,Sufficient
Ludwigsburg_Traffic,Average,15,Sufficient
Ludwigshafen am Rhein_Background,Average,5,Insufficient
Ludwigshafen am Rhein_Industrial,Average,1,Insufficient
Ludwigshafen am Rhein_Traffic,Average,5,Insufficient
Lübeck_Background,Average,13,Sufficient
Lübeck_Traffic,Average,13,Sufficient
Lüdenscheid_Traffic,Average,1,Insufficient
Lüneburg_Background,Average,18,Sufficient
Lünen_Background,Average,17,Sufficient
Lünen_Industrial,Average,1,Insufficient
Lünen_Traffic,Average,2,Insufficient
Magdeburg_Background,Average,18,Sufficient
Magdeburg_Traffic,Average,18,Sufficient
Mainz_Background,Average,5,Insufficient
Mainz_Traffic,Average,5,Insufficient
Mannheim_Background,Average,11,Sufficient
Mannheim_Industrial,Average,18,Sufficient
Mannheim_Traffic,Average,18,Sufficient
Marburg_Background,Average,18,Sufficient
Marburg_Traffic,Average,16,Sufficient
Meerbusch_Traffic,Average,4,Insufficient
Meiningen_Background,Average,18,Sufficient
Mettmann_Traffic,Average,10,Sufficient
Mosbach_Background,Average,1,Insufficient
Mönchengladbach_Background,Average,3,Insufficient
Mönchengladbach_Traffic,Average,17,Sufficient
Mühlacker_Traffic,Average,14,Sufficient
Mülheim an der Ruhr_Background,Average,17,Sufficient
Mülheim an der Ruhr_Traffic,Average,10,Sufficient
München_Background,Average,17,Sufficient
München_Traffic,Average,17,Sufficient
Münster_Background,Average,17,Sufficient
Münster_Traffic,Average,17,Sufficient
Naumburg (Saale)_Background,Average,8,Insufficient
Netphen_Background,Average,17,Sufficient
Nettetal_Background,Average,17,Sufficient
Neu-Ulm_Background,Average,17,Sufficient
Neubrandenburg_Traffic,Average,18,Sufficient
Neuruppin_Background,Average,18,Sufficient
Neuss_Background,Average,3,Insufficient
Neuss_Traffic,Average,14,Sufficient
Neustadt an der Weinstraße_Traffic,Average,5,Insufficient
Neuwied_Background,Average,5,Insufficient
Neuwied_Traffic,Average,5,Insufficient
Nordhausen_Background,Average,18,Sufficient
Nordhausen_Traffic,Average,1,Insufficient
Nürnberg_Background,Average,8,Insufficient
Nürnberg_Traffic,Average,17,Sufficient
Oberhausen_Traffic,Average,10,Sufficient
Offenbach am Main_Background,Average,3,Insufficient
Offenbach am Main_Traffic,Average,12,Sufficient
Offenburg_Background,Average,7,Insufficient
Osnabrück_Background,Average,18,Sufficient
Osnabrück_Traffic,Average,15,Sufficient
Overath_Traffic,Average,13,Sufficient
Paderborn_Background,Average,1,Insufficient
Paderborn_Traffic,Average,12,Sufficient
Passau_Background,Average,15,Sufficient
Passau_Traffic,Average,3,Insufficient
Pforzheim_Background,Average,14,Sufficient
Pforzheim_Traffic,Average,13,Sufficient
Pirmasens_Background,Average,5,Insufficient
Potsdam_Background,Average,18,Sufficient
Potsdam_Traffic,Average,18,Sufficient
Pulheim_Background,Average,1,Insufficient
Rastatt_Background,Average,5,Insufficient
Rastatt_Traffic,Average,1,Insufficient
Ratingen_Background,Average,17,Sufficient
Recklinghausen_Industrial,Average,1,Insufficient
Recklinghausen_Traffic,Average,12,Sufficient
Regensburg_Traffic,Average,17,Sufficient
Remscheid_Traffic,Average,13,Sufficient
Remseck am Neckar_Traffic,Average,4,Insufficient
Reutlingen_Background,Average,18,Sufficient
Reutlingen_Traffic,Average,15,Sufficient
Rheinfelden (Baden)_Background,Average,1,Insufficient
Riedstadt_Background,Average,18,Sufficient
Rinteln_Background,Average,18,Sufficient
Rostock_Background,Average,15,Sufficient
Rostock_Industrial,Average,6,Insufficient
Rostock_Traffic,Average,18,Sufficient
Rottweil_Background,Average,1,Insufficient
Rudolstadt_Background,Average,2,Insufficient
Saarbrücken_Background,Average,18,Sufficient
Saarbrücken_Traffic,Average,17,Sufficient
Saarlouis_Background,Average,18,Sufficient
Salzgitter_Industrial,Average,13,Sufficient
Salzwedel_Background,Average,8,Insufficient
Schramberg_Traffic,Average,14,Sufficient
Schwabach_Background,Average,8,Insufficient
Schwandorf_Background,Average,17,Sufficient
Schwedt/Oder_Industrial,Average,18,Sufficient
Schweinfurt_Background,Average,7,Insufficient
Schweinfurt_Traffic,Average,10,Sufficient
Schwerin_Traffic,Average,18,Sufficient
Schwerte_Background,Average,17,Sufficient
Schwerte_Traffic,Average,9,Sufficient
Schwäbisch Gmünd_Traffic,Average,13,Sufficient
Schwäbisch Hall_Background,Average,16,Sufficient
Senftenberg_Background,Average,5,Insufficient
Siegen_Traffic,Average,14,Sufficient
Sindelfingen_Traffic,Average,2,Insufficient
Soest_Background,Average,17,Sufficient
Solingen_Background,Average,17,Sufficient
Solingen_Traffic,Average,4,Insufficient
Sondershausen_Background,Average,18,Sufficient
Speyer_Background,Average,1,Insufficient
Speyer_Traffic,Average,4,Insufficient
Spremberg_Background,Average,12,Sufficient
Spremberg_Industrial,Average,9,Sufficient
Stendal_Background,Average,18,Sufficient
Stralsund_Traffic,Average,18,Sufficient
Stuttgart_Background,Average,18,Sufficient
Stuttgart_Industrial,Average,1,Insufficient
Stuttgart_Traffic,Average,18,Sufficient
Suhl_Background,Average,2,Insufficient
Suhl_Traffic,Average,18,Sufficient
Trier_Traffic,Average,5,Insufficient
Tuttlingen_Background,Average,1,Insufficient
Tübingen_Background,Average,18,Sufficient
Tübingen_Traffic,Average,14,Sufficient
Ulm_Background,Average,18,Sufficient
Ulm_Traffic,Average,15,Sufficient
Unna_Background,Average,17,Sufficient
Villingen-Schwenningen_Background,Average,18,Sufficient
Völklingen_Background,Average,18,Sufficient
Waiblingen_Background,Average,8,Insufficient
Waldshut-Tiengen_Traffic,Average,8,Insufficient
Walsrode_Background,Average,18,Sufficient
Warstein_Industrial,Average,13,Sufficient
Weil am Rhein_Background,Average,18,Sufficient
Weil am Rhein_Traffic,Average,2,Insufficient
Weimar_Background,Average,12,Sufficient
Weimar_Traffic,Average,18,Sufficient
Weißenfels_Traffic,Average,18,Sufficient
Wernigerode_Background,Average,18,Sufficient
Wesel_Background,Average,17,Sufficient
Wetzlar_Background,Average,8,Insufficient
Wetzlar_Traffic,Average,10,Sufficient
Wiesbaden_Background,Average,18,Sufficient
Wiesbaden_Traffic,Average,18,Sufficient
Wiesloch_Background,Average,18,Sufficient
Wiesloch_Traffic,Average,1,Insufficient
Wilhelmshaven_Background,Average,18,Sufficient
Witten_Industrial,Average,2,Insufficient
Witten_Traffic,Average,11,Sufficient
Wittenberg_Background,Average,18,Sufficient
Wittenberg_Traffic,Average,18,Sufficient
Wolfsburg_Background,Average,18,Sufficient
Wolfsburg_Traffic,Average,8,Insufficient
Worms_Traffic,Average,5,Insufficient
Wuppertal_Background,Average,9,Sufficient
Wuppertal_Traffic,Average,17,Sufficient
Wülfrath_Industrial,Average,1,Insufficient
Würzburg_Background,Average,11,Sufficient
Würzburg_Traffic,Average,17,Sufficient
Zeitz_Background,Average,5,Insufficient
Öhringen_Background,Average,2,Insufficient
Aachen_Background,Linke,17,Sufficient
Aachen_Traffic,Linke,17,Sufficient
Aalen_Background,Linke,18,Sufficient
Altenburg_Background,Linke,8,Insufficient
Altenburg_Traffic,Linke,10,Sufficient
Ansbach_Traffic,Linke,17,Sufficient
Arnstadt_Background,Linke,2,Insufficient
Aschaffenburg_Background,Linke,17,Sufficient
Aschersleben_Traffic,Linke,18,Sufficient
Augsburg_Background,Linke,17,Sufficient
Augsburg_Traffic,Linke,17,Sufficient
Backnang_Traffic,Linke,6,Insufficient
Bad Salzuflen_Traffic,Linke,1,Insufficient
Bad Waldsee_Background,Linke,1,Insufficient
Baden-Baden_Background,Linke,18,Sufficient
Balingen_Traffic,Linke,6,Insufficient
Bamberg_Background,Linke,17,Sufficient
Bayreuth_Traffic,Linke,17,Sufficient
Berlin_Background,Linke,18,Sufficient
Berlin_Industrial,Linke,10,Sufficient
Berlin_Traffic,Linke,18,Sufficient
Bernau bei Berlin_Background,Linke,8,Insufficient
Bernau bei Berlin_Traffic,Linke,15,Sufficient
Bernburg (Saale)_Background,Linke,8,Insufficient
Bernburg (Saale)_Traffic,Linke,10,Sufficient
Biberach an der Riß_Background,Linke,18,Sufficient
Bielefeld_Background,Linke,17,Sufficient
Bielefeld_Traffic,Linke,15,Sufficient
Bietigheim-Bissingen_Traffic,Linke,10,Sufficient
Bitterfeld-Wolfen_Industrial,Linke,14,Sufficient
Bochum_Traffic,Linke,11,Sufficient
Bonn_Background,Linke,17,Sufficient
Bonn_Traffic,Linke,12,Sufficient
Borken_Background,Linke,17,Sufficient
Bottrop_Industrial,Linke,17,Sufficient
Bottrop_Traffic,Linke,12,Sufficient
Brandenburg an der Havel_Background,Linke,18,Sufficient
Brandenburg an der Havel_Traffic,Linke,18,Sufficient
Braunschweig_Background,Linke,18,Sufficient
Braunschweig_Traffic,Linke,16,Sufficient
Bremen_Background,Linke,18,Sufficient
Bremen_Industrial,Linke,11,Sufficient
Bremen_Traffic,Linke,18,Sufficient
Bremerhaven_Background,Linke,18,Sufficient
Bremerhaven_Traffic,Linke,14,Sufficient
Burg_Background,Linke,18,Sufficient
Burgdorf_Traffic,Linke,6,Insufficient
Böblingen_Background,Linke,3,Insufficient
Calw_Background,Linke,1,Insufficient
Castrop-Rauxel_Industrial,Linke,2,Insufficient
Castrop-Rauxel_Traffic,Linke,2,Insufficient
Celle_Traffic,Linke,3,Insufficient
Coburg_Traffic,Linke,10,Sufficient
Cottbus_Background,Linke,18,Sufficient
Cottbus_Traffic,Linke,18,Sufficient
Cuxhaven_Background,Linke,18,Sufficient
Darmstadt_Background,Linke,18,Sufficient
Darmstadt_Traffic,Linke,18,Sufficient
Datteln_Background,Linke,17,Sufficient
Dessau-Roßlau_Traffic,Linke,13,Sufficient
Dinslaken_Traffic,Linke,12,Sufficient
Dormagen_Background,Linke,4,Insufficient
Dortmund_Background,Linke,17,Sufficient
Dortmund_Traffic,Linke,17,Sufficient
Duderstadt_Background,Linke,18,Sufficient
Duisburg_Background,Linke,4,Insufficient
Duisburg_Industrial,Linke,17,Sufficient
Duisburg_Traffic,Linke,17,Sufficient
Düren_Traffic,Linke,11,Sufficient
Düsseldorf_Background,Linke,17,Sufficient
Düsseldorf_Traffic,Linke,17,Sufficient
Eberswalde_Traffic,Linke,15,Sufficient
Eisenach_Background,Linke,18,Sufficient
Eisenhüttenstadt_Industrial,Linke,18,Sufficient
Elsdorf_Industrial,Linke,7,Insufficient
Emden_Background,Linke,18,Sufficient
Erfurt_Background,Linke,18,Sufficient
Erfurt_Traffic,Linke,18,Sufficient
Erlangen_Background,Linke,17,Sufficient
Erlangen_Traffic,Linke,8,Insufficient
Eschweiler_Industrial,Linke,1,Insufficient
Eschweiler_Traffic,Linke,11,Sufficient
Essen_Background,Linke,17,Sufficient
Essen_Industrial,Linke,1,Insufficient
Essen_Traffic,Linke,17,Sufficient
Esslingen am Neckar_Background,Linke,1,Insufficient
Esslingen am Neckar_Traffic,Linke,6,Insufficient
Fellbach_Background,Linke,1,Insufficient
Filderstadt_Background,Linke,18,Sufficient
Flensburg_Traffic,Linke,13,Sufficient
Frankenthal (Pfalz)_Traffic,Linke,5,Insufficient
Frankfurt (Oder)_Background,Linke,18,Sufficient
Frankfurt (Oder)_Traffic,Linke,18,Sufficient
Frankfurt am Main_Background,Linke,18,Sufficient
Frankfurt am Main_Traffic,Linke,18,Sufficient
Freiburg im Breisgau_Background,Linke,18,Sufficient
Freiburg im Breisgau_Traffic,Linke,18,Sufficient
Freudenstadt_Background,Linke,8,Insufficient
Friedrichshafen_Background,Linke,8,Insufficient
Friedrichshafen_Traffic,Linke,11,Sufficient
Fulda_Background,Linke,16,Sufficient
Fulda_Traffic,Linke,18,Sufficient
Fürth_Background,Linke,17,Sufficient
Fürth_Traffic,Linke,11,Sufficient
Garmisch-Partenkirchen_Background,Linke,17,Sufficient
Geislingen an der Steige_Traffic,Linke,3,Insufficient
Gelsenkirchen_Background,Linke,17,Sufficient
Gelsenkirchen_Traffic,Linke,11,Sufficient
Gera_Background,Linke,18,Sufficient
Gera_Traffic,Linke,13,Sufficient
