Gemeindewahl 2021 - Endgültiges Ergebnis - Stand: 23.06.2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;434012;Wehrheim;;4076;3371;0;7447;4730;3170;114;135948;60513;14;26480;6;23876;5;;;25079;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;434013;Weilrod;;3240;1979;0;5219;3114;1835;73;77699;11576;4;9456;3;13680;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42987;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
77;435001;Bad Orb, Stadt;;5306;3042;0;8348;4043;2807;151;114772;43006;12;26636;7;10323;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13249;3;21558;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FBO;FWG;;;;;;;;;;;;;;
78;435002;Bad Soden-Salmünster, Stadt;;7345;3464;0;10809;5114;3265;193;152238;57034;12;;;38767;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56437;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GWL;;;;;;;;;;;;;;;
79;435003;Biebergemünd;;3739;2950;0;6689;3984;2736;125;108938;36514;10;9815;3;22216;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40393;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
80;435004;Birstein;;3483;1578;0;5061;2998;1502;42;67985;14296;5;;;26242;10;;;4634;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22813;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FBG;;;;;;;;;;;;;;;
81;435005;Brachttal;;2668;1458;0;4126;2213;1370;59;50743;14220;7;;;17318;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19205;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWB Brachttal;;;;;;;;;;;;;;;
82;435006;Bruchköbel, Stadt;;11491;5160;0;16651;8249;4681;267;281464;67660;9;61647;8;45424;6;;;67165;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39568;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BBB;;;;;;;;;;;;;;;
83;435007;Erlensee, Stadt;;8176;3113;0;11289;4661;2821;274;126193;41643;10;27671;7;56879;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;435008;Flörsbachtal;;1160;769;0;1929;1169;726;37;14088;;;;;5907;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4746;4;3435;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SBF;BLF;;;;;;;;;;;;;;
85;435009;Freigericht;;6676;5045;0;11721;6548;4664;134;224527;54083;9;40084;7;31192;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50314;8;48854;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWG Freigericht;Die Freigerichter;;;;;;;;;;;;;;
86;435010;Gelnhausen, Barbarossastadt, Kreisstadt;;11028;6975;0;18003;9040;5875;364;302015;75217;9;57617;7;68636;8;;;29814;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49721;6;21010;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BG;GN+;;;;;;;;;;;;;;
87;435011;Großkrotzenburg;;3247;2608;0;5855;3376;2403;110;79055;22008;7;;;10428;3;;;8000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12408;4;26211;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KG;Initiative;;;;;;;;;;;;;;
88;435012;Gründau;;7729;4026;0;11755;5996;3710;211;201327;66748;12;;;75320;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42239;8;17020;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;KBG;;;;;;;;;;;;;;
89;435013;Hammersbach;;2228;1716;0;3944;2381;1588;75;51689;18460;8;9224;4;24005;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;435014;Hanau, Brüder-Grimm-Stadt;;49370;17616;0;66986;28774;15908;1160;1520252;385623;15;240056;9;482995;19;;;105347;4;69377;2;;;;;;;26682;1;74105;3;;;;;;;;;;;;;;;;;69747;3;22365;1;43955;2;;;;;;;;;;;;;;;;;;;;;;;;;;;BfH;HBU;WSH;;;;;;;;;;;;;
91;435015;Hasselroth;;3924;1984;0;5908;3278;1855;62;81630;12501;4;;;23261;8;;;3663;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42205;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SWG;;;;;;;;;;;;;;;
92;435016;Jossgrund;;1714;1135;0;2849;1828;1069;38;39451;10138;6;;;8468;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20845;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
93;435017;Langenselbold, Stadt;;7989;3257;0;11246;5399;2962;189;183428;51500;10;27135;6;69454;14;;;11394;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23945;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
94;435018;Linsengericht;;4983;2945;0;7928;4420;2755;62;113202;19556;5;14381;3;44910;11;9449;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24906;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BGL-FWG;;;;;;;;;;;;;;;
95;435019;Maintal, Stadt;;21456;8482;0;29938;12392;7794;479;500602;126319;11;109397;10;108568;10;28159;2;50968;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51501;5;25690;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAM;GEMEINSAM;;;;;;;;;;;;;;
96;435020;Neuberg;;2724;1668;0;4392;2654;1562;58;56070;15520;6;8130;3;25990;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6430;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL;;;;;;;;;;;;;;;
97;435021;Nidderau, Stadt;;9907;6370;0;16277;9084;5916;233;312108;105728;13;57158;7;112283;13;;;7830;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29109;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG Nidderau;;;;;;;;;;;;;;;
98;435022;Niederdorfelden;;1860;964;0;2824;1567;891;36;22337;;;3161;2;11704;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7472;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DL;;;;;;;;;;;;;;;
99;435023;Rodenbach;;5830;3122;0;8952;4466;2874;148;125350;31005;8;20524;5;58366;14;;;15455;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;435024;Ronneburg;;1919;934;0;2853;1621;873;61;24957;8559;6;;;14308;10;;;2090;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;435025;Schlüchtern, Stadt;;8611;3904;0;12515;6233;3601;174;186794;47289;8;27171;5;58864;11;;;18085;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35385;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BBB;;;;;;;;;;;;;;;
102;435026;Schöneck;;5748;3724;0;9472;5335;3470;173;182860;44300;9;33911;7;52326;10;;;18001;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19150;4;15172;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAS;FWG Schöneck;;;;;;;;;;;;;;
103;435027;Sinntal;;4810;2466;0;7276;4201;2318;83;94706;23465;6;;;32941;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38300;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BWG;;;;;;;;;;;;;;;
104;435028;Steinau an der Straße, Brüder-Grimm-Stadt;;5404;2955;0;8359;4161;2754;114;114924;;;;;27167;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36477;10;19785;5;31495;9;;;;;;;;;;;;;;;;;;;;;;;;;;;BGM;UBL;WFS;;;;;;;;;;;;;
105;435029;Wächtersbach, Stadt;;5898;3633;0;9531;5067;3370;141;171046;22395;5;13282;3;85449;18;;;;;5549;1;;;;;;;;;;;;;;;;;;;;;;;;;;;44371;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Freie Wächter;;;;;;;;;;;;;;;
106;436001;Bad Soden am Taunus, Stadt;;10909;6521;0;17430;9402;5873;243;329732;124114;14;72522;8;43649;5;;;38528;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50919;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BSB;;;;;;;;;;;;;;;
107;436002;Eppstein, Stadt;;6079;4198;0;10277;6003;3891;150;205684;87386;16;40051;7;27540;5;;;17042;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33665;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
108;436003;Eschborn, Stadt;;9967;5592;0;15559;8447;5143;235;292790;89648;11;52676;7;46922;6;;;54011;7;14082;2;;;;;;;;;;;;;;;;;;;;;;;;;;;35451;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWE;;;;;;;;;;;;;;;
109;436004;Flörsheim am Main, Stadt;;10460;5957;0;16417;8405;5449;268;285169;101010;13;;;54150;7;;;22692;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55582;7;51735;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GALF;dfb;;;;;;;;;;;;;;
110;436005;Hattersheim am Main, Stadt;;13998;6751;0;20749;10547;6260;310;356212;181998;19;56395;6;68500;7;;;22474;2;;;;;;;;;5613;1;;;;;;;;;;;;;;;;;;;21232;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
111;436006;Hochheim am Main, Stadt;;8755;5712;0;14467;7968;5328;313;226790;61438;8;47244;7;51431;7;;;20804;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45873;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
112;436007;Hofheim am Taunus, Kreisstadt;;17994;12875;0;30869;17559;11745;507;719080;236795;15;167982;11;96766;6;;;46415;3;39242;2;;;;;;;;;;;;;;;;;;;;;;;;;;;67612;4;58695;4;5573;0;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;BfH;WfM;;;;;;;;;;;;;
113;436008;Kelkheim (Taunus), Stadt;;12257;10071;0;22328;13352;9301;336;559245;214636;17;;;55743;5;;;51711;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;204232;16;32923;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UKW;FW;;;;;;;;;;;;;;
114;436009;Kriftel;;4606;3912;0;8518;5021;3600;144;145864;77922;17;31613;7;20212;4;;;16117;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;436010;Liederbach am Taunus;;3717;2662;0;6379;3942;2511;96;115344;46721;13;20113;5;15868;4;;;8224;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24418;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
116;436011;Schwalbach am Taunus, Stadt;;7433;3558;0;10991;5589;3312;108;193612;57855;11;41523;8;69253;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19125;4;5856;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FDP & Freie Bürger;EULE;;;;;;;;;;;;;;
117;436012;Sulzbach (Taunus);;3914;2967;0;6881;4013;2785;92;117436;42848;11;24219;7;29657;8;;;8306;2;;;;;12406;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;437001;Bad König, Stadt;;5134;2621;0;7755;3835;2438;106;94434;15891;5;8863;2;30187;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39493;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZBK;;;;;;;;;;;;;;;
119;437003;Brensbach;;2619;1557;0;4176;2320;1439;70;51959;13413;7;;;25853;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12693;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWG-Brensbach;;;;;;;;;;;;;;;
120;437004;Breuberg, Stadt;;3741;1742;0;5483;2749;1664;124;72287;2050;1;8833;4;34669;15;;;;;907;0;;;;;;;;;;;;;;;;;;;;;;;;;;;25828;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BWG;;;;;;;;;;;;;;;
121;437005;Brombachtal;;1671;1156;0;2827;1669;1086;52;27678;10057;7;874;1;9725;7;;;1436;1;648;0;;;;;;;;;;;;;;;;;;;;;;;;;;;4938;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G.S.B.;;;;;;;;;;;;;;;
122;437006;Erbach, Kreisstadt;;7191;3623;0;10814;4988;3369;147;137445;28490;6;17730;4;41268;9;6629;2;6547;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36781;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜWG Erbach;;;;;;;;;;;;;;;
123;437007;Fränkisch-Crumbach;;1352;1297;0;2649;1672;1237;54;23513;8382;5;2889;2;9799;6;;;2443;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;437009;Höchst im Odenwald;;5001;2822;0;7823;3871;2625;93;109895;27971;8;14816;4;32051;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35057;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KAH;;;;;;;;;;;;;;;
125;437010;Lützelbach;;3396;2002;0;5398;2767;1852;76;77692;17374;7;;;27425;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32893;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜWG Lützelbach;;;;;;;;;;;;;;;
126;437011;Michelstadt, Stadt;;7559;5105;0;12664;7182;4841;206;233259;56445;9;31458;5;67017;11;;;13982;2;2150;0;;;;;;;;;;;;;;;;;;;;;;;;;;;62207;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜWG;;;;;;;;;;;;;;;
127;437012;Mossautal;;1205;817;0;2022;1285;781;23;17871;4482;4;;;1775;1;1080;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10534;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜWG Mossautal;;;;;;;;;;;;;;;
128;437013;Reichelsheim (Odenwald);;4391;2450;0;6841;3667;2308;121;100879;;;;;37909;12;;;3450;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59520;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CDU-RWG;;;;;;;;;;;;;;;
129;437016;Oberzent, Stadt;;4552;3811;0;8363;4853;3580;165;156752;32130;8;14212;3;39300;9;;;21055;5;657;0;;;;;;;;;;;;;;;;;;;;;;;;;;;49398;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜWO Oberzent;;;;;;;;;;;;;;;
130;438001;Dietzenbach, Kreisstadt;;14818;7403;0;22221;10304;6688;362;424598;118545;13;95458;10;108228;11;29865;3;23041;2;16838;2;;;;;;;;;;;;;;;;;;;;;;;;;;;25920;3;6703;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW - UDS;DL;;;;;;;;;;;;;;
131;438002;Dreieich, Stadt;;20649;11085;0;31734;15647;10014;560;655113;184910;13;161659;11;136101;9;;;81324;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54932;4;36187;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG Dreieich;BfD;;;;;;;;;;;;;;
132;438003;Egelsbach;;5486;3143;0;8629;4484;2856;170;129364;23046;6;43816;10;27168;7;;;17346;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17988;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WGE;;;;;;;;;;;;;;;
133;438004;Hainburg;;7201;4310;0;11511;6308;4067;221;213195;115474;20;39617;7;32395;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25709;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BFH;;;;;;;;;;;;;;;
134;438005;Heusenstamm, Stadt;;8488;6047;0;14535;8503;5616;187;294740;119909;15;42439;5;74949;9;16340;2;15892;2;;;;;;;;;;;;;;;;;;;;;;;;;;;11587;2;13624;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWH;;;;;;;;;;;;;;;
135;438006;Langen (Hessen), Stadt;;18826;9151;0;27977;12337;8353;362;514911;133590;12;128801;11;81128;7;;;32793;3;25893;2;;;;;;;;;;;;;;;;;;;;;;;;;;;78940;7;14286;1;19480;2;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG-NEV;FREIE WÄHLER/UWFB;WiLa;;;;;;;;;;;;;
136;438007;Mainhausen;;4765;2770;0;7535;3908;2543;107;98746;14880;4;16320;4;48027;13;;;9131;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10388;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWG;;;;;;;;;;;;;;;
137;438008;Mühlheim am Main, Stadt;;15036;6881;0;21917;10807;6404;346;434420;89224;9;82663;9;129871;13;15152;2;19991;2;;;;;;;;;15317;2;;;;;;;;;;;;;;;;;;;82202;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BÜRGER;;;;;;;;;;;;;;;
138;438009;Neu-Isenburg, Stadt;;19937;7790;0;27727;11553;6911;364;484279;157522;15;117988;11;88495;8;32605;3;43146;4;27051;2;;;;;;;;;;;;;;;;;;;;;;;;;;;17472;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
139;438010;Obertshausen, Stadt;;13075;5693;0;18768;8184;5717;318;276949;110054;15;56411;7;46651;6;;;20300;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43533;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bürger;;;;;;;;;;;;;;;
140;438011;Rodgau, Stadt;;21654;13550;0;35204;17800;12353;627;740584;226820;14;135760;8;127645;8;50727;3;70847;4;26278;1;;;;;;;;;;;;;;;;;;;;;;;27929;2;;;44795;3;29783;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZmB;Freie Wähler Rodgau;;;;;;;;;;;;;;
141;438012;Rödermark, Stadt;;12389;8671;0;21060;11042;7907;396;383573;129108;13;;;48989;5;6507;1;35357;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124155;13;39457;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AL / GRÜNE;FWR;;;;;;;;;;;;;;
142;438013;Seligenstadt, Einhardstadt;;9478;7487;0;16965;9605;6837;296;328179;112295;13;57616;6;44366;5;;;69294;8;11326;1;;;;;;;;;;;;;;;;;;;;;;;;;;;33282;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWS;;;;;;;;;;;;;;;
143;439001;Aarbergen;;2797;2015;0;4812;2672;1866;63;75311;25071;10;12503;5;19103;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18634;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL;;;;;;;;;;;;;;;
144;439002;Bad Schwalbach, Kreisstadt;;5470;2947;0;8417;4143;2684;191;113912;24048;7;29566;8;21156;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27420;7;11722;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SWA & BSB;BLF;;;;;;;;;;;;;;
145;439003;Eltville am Rhein, Stadt;;7733;5879;0;13612;7952;5422;177;272664;121710;16;70461;10;41177;6;15809;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23507;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLL;;;;;;;;;;;;;;;
146;439004;Geisenheim, Hochschulstadt;;5654;3709;0;9363;4799;3362;177;161483;42836;10;35348;8;34403;8;;;16813;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32083;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZfB;;;;;;;;;;;;;;;
147;439005;Heidenrod;;4180;2286;0;6466;4112;2154;104;116845;26531;7;14131;4;32421;9;11355;3;4236;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28171;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWH;;;;;;;;;;;;;;;
148;439006;Hohenstein;;2785;2241;0;5026;3203;2141;95;70610;22757;8;2884;1;30771;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14198;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
149;439007;Hünstetten;;5386;3199;0;8585;5118;3203;128;143505;27249;6;22803;5;28875;6;;;4769;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59809;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HüLi;;;;;;;;;;;;;;;
150;439008;Idstein, Hochschulstadt;;11404;8277;0;19681;11152;7624;348;455034;131946;13;109937;11;91636;9;10528;1;30947;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44245;4;35795;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG Idstein;ULI;;;;;;;;;;;;;;
151;439009;Kiedrich;;1678;1587;0;3265;2048;1479;43;37024;9690;5;6381;3;17449;9;;;3504;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;439010;Lorch, Stadt;;1565;1382;0;2947;1790;1317;36;31581;6870;4;;;4777;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7349;4;12585;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;LiLo;;;;;;;;;;;;;;
153;439011;Niedernhausen;;6311;5257;0;11568;6631;4874;228;224704;76743;13;39777;7;39039;6;;;24710;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17302;3;20549;3;6584;1;;;;;;;;;;;;;;;;;;;;;;;;;;;OLN;WGN;BfN;;;;;;;;;;;;;
154;439012;Oestrich-Winkel, Stadt;;4819;4574;0;9393;5650;4240;173;161596;58406;11;29793;6;56310;11;;;17087;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;439013;Rüdesheim am Rhein, Stadt;;4962;2393;0;7355;3626;2233;97;100059;29048;9;;;12844;4;3819;1;3358;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35232;11;15758;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GfR;WIR;;;;;;;;;;;;;;
156;439014;Schlangenbad;;3286;1921;0;5207;2993;1757;81;69091;19891;7;14633;5;9699;4;;;4248;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20620;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BfB;;;;;;;;;;;;;;;
157;439015;Taunusstein, Stadt;;13130;9577;0;22707;12022;8659;335;496807;178697;16;89408;8;104997;10;36305;3;37650;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49750;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG Taunusstein;;;;;;;;;;;;;;;
158;439016;Waldems;;2582;1670;0;4252;2473;1572;38;62450;25229;11;10482;5;17090;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9649;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
