Gemeindewahl 2021 - Endgültiges Ergebnis - Stand: 23.06.2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;534001;Amöneburg, Stadt;;2826;1319;0;4145;2315;1261;60;48154;17680;9;6133;3;8910;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15431;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
246;534002;Angelburg;;1947;903;0;2850;1390;874;28;29687;8313;6;;;11133;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10241;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BGL/FWG Angelburg;;;;;;;;;;;;;;;
247;534003;Bad Endbach;;4767;1657;0;6424;2735;1525;78;56126;19525;8;;;24529;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12072;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
248;534004;Biedenkopf, Stadt;;6694;3259;0;9953;4997;3040;124;164393;29784;7;9543;2;33465;8;;;5873;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32511;7;25320;6;27897;6;;;;;;;;;;;;;;;;;;;;;;;;;;;BB Biedenkopf;UBL;ZfB;;;;;;;;;;;;;
249;534005;Breidenbach;;3676;1132;0;4808;2177;1072;52;52340;15316;8;;;17703;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19321;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL;;;;;;;;;;;;;;;
250;534006;Cölbe;;3802;1628;0;5430;2857;1524;59;71340;16381;6;20618;8;22153;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12188;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL;;;;;;;;;;;;;;;
251;534007;Dautphetal;;6037;2818;0;8855;4873;2638;69;131535;47465;11;;;36185;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47885;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
252;534008;Ebsdorfergrund;;5042;2299;0;7341;4225;2150;99;119395;22537;6;14520;4;53779;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28559;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜBE/FWG;;;;;;;;;;;;;;;
253;534009;Fronhausen;;2176;1131;0;3307;1952;1066;37;41544;13840;8;;;13337;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14367;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IF;;;;;;;;;;;;;;;
254;534010;Gladenbach, Stadt;;6897;2667;0;9564;4596;2530;88;154176;50487;12;;;45258;11;;;;;;;;;41682;10;;;;;;;;;;;;;;;;;;;;;;;16749;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JL/GRÜNE;;;;;;;;;;;;;;;
255;534011;Kirchhain, Stadt;;8800;3918;0;12718;6781;3673;193;226945;70694;11;29829;5;84836;14;;;12300;2;9532;2;;;;;;;;;;;;;;;;;;;;;;;;;;;19754;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLK;;;;;;;;;;;;;;;
256;534012;Lahntal;;3429;2080;0;5509;3076;1949;47;88298;18433;6;16057;6;30855;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22953;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLL;;;;;;;;;;;;;;;
257;534013;Lohra;;3230;1217;0;4447;2504;1147;79;69017;15361;7;8567;4;14742;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30347;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BfB;;;;;;;;;;;;;;;
258;534014;Marburg, Universitätsstadt;;39512;18423;0;57935;31911;17058;661;1741662;372905;13;453023;15;410113;14;32166;1;69138;2;;;13371;1;;;;;;;;;;;;;3760;0;;;;;;;;;;;197881;7;57547;2;111737;4;12273;0;7748;0;;;;;;;;;;;;;;;;;;;;;;;Linke;BfM;KLIMALISTE;WDMR;MR-24;;;;;;;;;;;
259;534015;Münchhausen;;1941;781;0;2722;1623;743;39;33699;13792;10;;;14974;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4933;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UGL;;;;;;;;;;;;;;;
260;534016;Neustadt (Hessen), Stadt;;4166;2240;0;6406;3203;2044;73;67630;35095;12;;;20436;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12099;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
261;534017;Rauschenberg, Stadt;;2501;1067;0;3568;1899;1061;53;39950;11490;7;7065;4;7988;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13407;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FBL;;;;;;;;;;;;;;;
262;534018;Stadtallendorf, Stadt;;11643;2887;0;14530;5357;2725;161;179241;66168;14;17573;3;61248;13;;;20421;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13831;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUS;;;;;;;;;;;;;;;
263;534019;Steffenberg;;2445;724;0;3169;1498;687;52;29617;7090;5;;;11056;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11471;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLS;;;;;;;;;;;;;;;
264;534020;Weimar (Lahn);;3864;1933;0;5797;3344;1812;68;70956;18086;6;12995;4;17588;6;;;5117;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17170;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FBW;;;;;;;;;;;;;;;
265;534021;Wetter (Hessen), Stadt;;5377;1753;0;7130;3517;1624;164;92414;26496;9;14908;5;42083;14;;;2299;1;6628;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;534022;Wohratal;;1199;608;0;1807;1068;582;19;14697;4092;4;;;5418;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5187;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OLW;;;;;;;;;;;;;;;
267;535001;Alsfeld, Stadt;;8255;4310;0;12565;6402;4026;236;211076;110350;19;;;53904;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26628;5;20194;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWA;ALA;;;;;;;;;;;;;;
268;535002;Antrifttal;;992;572;0;1564;1068;550;21;14416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4244;4;3513;4;2264;2;1815;2;2580;3;;;;;;;;;;;;;;;;;;;;;;;FWR;BLO;WGB;FWS;WGV;;;;;;;;;;;
269;535003;Feldatal;;1212;821;0;2033;1336;776;64;18009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8208;7;9801;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;Bürgerliste Feldatal;;;;;;;;;;;;;;
270;535004;Freiensteinau;;1778;850;0;2628;1707;819;34;29940;;;;;4906;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14734;9;10300;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FREIE WÄHLER;GBE;;;;;;;;;;;;;;
271;535005;Gemünden (Felda);;1547;685;0;2232;1258;656;36;17527;;;;;4222;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5904;5;7401;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UBL;BGG;;;;;;;;;;;;;;
272;535006;Grebenau, Stadt;;1258;778;0;2036;1383;737;95;18908;3640;3;;;3481;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8857;7;2436;2;494;0;;;;;;;;;;;;;;;;;;;;;;;;;;;FREIE WÄHLER;GL;NMG;;;;;;;;;;;;;
273;535007;Grebenhain;;2323;1587;0;3910;2441;1494;126;48262;23390;11;;;24872;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;535008;Herbstein, Stadt;;2272;1657;0;3929;2386;1559;79;48455;23487;11;;;14451;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10517;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
275;535009;Homberg (Ohm), Stadt;;3907;2178;0;6085;3554;2071;100;85057;25266;8;15878;5;24514;8;;;;;;;;;6150;2;;;;;;;;;;;;;;;;;;;;;;;13249;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BÜRGERFORUM;;;;;;;;;;;;;;;
276;535010;Kirtorf, Stadt;;1644;946;0;2590;1601;912;27;33058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22517;16;10541;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG/CDU;SPD/UWL;;;;;;;;;;;;;;
277;535011;Lauterbach (Hessen), Kreisstadt;;6801;3581;0;10382;4847;3054;131;163591;57083;13;23629;5;40004;9;;;19087;4;7023;2;;;;;;;;;;;;;;;;;;;;;;;;;;;16765;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLL;;;;;;;;;;;;;;;
278;535012;Lautertal (Vogelsberg);;1384;607;0;1991;1279;579;29;17556;7272;6;;;8298;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1986;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UBG;;;;;;;;;;;;;;;
279;535013;Mücke;;4848;2835;0;7683;4401;2784;124;123767;21349;5;11791;3;23858;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32563;8;34206;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;MüBü;;;;;;;;;;;;;;
280;535014;Romrod, Stadt;;1419;817;0;2236;1239;745;25;17228;;;;;7237;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9991;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CDU/FWG;;;;;;;;;;;;;;;
281;535015;Schlitz, Stadt;;5058;2616;0;7674;4103;2268;107;114903;57483;16;;;27814;7;;;12541;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17065;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLS;;;;;;;;;;;;;;;
282;535016;Schotten, Stadt;;6080;2539;0;8619;4540;2355;143;142298;44873;12;18943;5;51379;13;4957;1;9403;3;;;;;12743;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;535017;Schwalmtal;;1432;847;0;2279;1406;809;15;20092;;;2064;2;5826;4;815;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11387;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BSCH;;;;;;;;;;;;;;;
284;535018;Ulrichstein, Stadt;;1625;815;0;2440;1499;785;42;20632;5311;4;2012;1;6723;5;1086;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3485;3;2015;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;AK;;;;;;;;;;;;;;
285;535019;Wartenberg;;1936;1262;0;3198;1879;1204;27;33884;5988;3;3504;2;7986;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9488;5;6918;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWGW;WAL;;;;;;;;;;;;;;
286;611000;Kassel, documenta-Stadt;;99178;48284;0;147462;64452;42565;2765;4185028;802551;14;1201167;20;1028529;17;233609;4;236057;4;469800;8;;;94443;2;;;41169;1;;;;;;;;;;;;;;;;;;;77703;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rettet die Bienen;;;;;;;;;;;;;;;
287;631001;Bad Salzschlirf;;1910;726;0;2636;1202;680;26;16959;6744;6;;;2766;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7449;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWL BS;;;;;;;;;;;;;;;
288;631002;Burghaun, Marktgemeinde;;3243;2021;0;5264;2993;1929;74;84442;40474;15;;;30730;11;;;13238;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;631003;Dipperz;;1714;1135;0;2849;1911;1084;37;26992;10356;6;;;;;;;4056;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12580;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLGD;;;;;;;;;;;;;;;
290;631004;Ebersburg;;2142;1552;0;3694;2379;1477;48;50482;27995;13;;;9863;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12624;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
291;631005;Ehrenberg (Rhön);;1353;711;0;2064;1434;675;30;19871;5780;4;;;3487;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10604;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLE;;;;;;;;;;;;;;;
292;631006;Eichenzell;;5435;3701;0;9136;5496;3496;106;187443;79274;16;;;39359;8;;;12509;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47204;9;9097;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bürgerliste;CWE;;;;;;;;;;;;;;
293;631007;Eiterfeld, Marktgemeinde;;3447;2275;0;5722;3683;2156;94;104480;42925;13;7905;2;9836;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43814;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
294;631008;Flieden;;4094;2947;0;7041;4349;2806;103;99561;49757;12;8818;2;18007;5;;;4684;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18295;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FDK;;;;;;;;;;;;;;;
295;631009;Fulda, Stadt;;35162;14752;0;49914;23605;13661;853;1242851;527124;25;200809;10;168121;8;89513;4;79202;4;46114;2;;;;;;;28382;1;;;;;;;;;17950;1;;;;;;;28028;1;35661;2;11949;1;9998;0;;;;;;;;;;;;;;;;;;;;;;;;;;;CWE;BfO;Soziale Gerechtigkeit;;;;;;;;;;;;;
296;631010;Gersfeld (Rhön), Stadt;;3019;1448;0;4467;2708;1368;49;76406;24104;10;;;23698;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28604;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BfG;;;;;;;;;;;;;;;
297;631011;Großenlüder;;4604;2457;0;7061;4117;2338;81;115624;56806;15;;;17514;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41304;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;U-B-L;;;;;;;;;;;;;;;
298;631012;Hilders, Marktgemeinde;;2294;1477;0;3771;2447;1394;49;50461;21116;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16778;8;8559;4;4008;2;;;;;;;;;;;;;;;;;;;;;;;;;;;CWE;OBH;HA;;;;;;;;;;;;;
299;631013;Hofbieber;;2732;2121;0;4853;3366;2026;80;85805;55139;20;;;4319;2;2845;1;8841;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14661;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CWE;;;;;;;;;;;;;;;
300;631014;Hosenfeld;;2428;1358;0;3786;2368;1270;58;49326;24694;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24632;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
301;631015;Hünfeld, Konrad-Zuse-Stadt;;8270;4627;0;12897;7166;4381;162;215035;126456;19;25885;4;21643;3;;;16152;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24899;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CWE;;;;;;;;;;;;;;;
302;631016;Kalbach;;2861;2360;0;5221;3315;2226;65;95006;35630;12;;;33829;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25547;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BfK;;;;;;;;;;;;;;;
303;631017;Künzell;;7869;5490;0;13359;7340;5085;158;235381;109199;17;38308;6;24850;4;4294;1;13313;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43956;7;1461;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CWE;FLK;;;;;;;;;;;;;;
304;631018;Neuhof;;5542;3298;0;8840;4938;3098;74;160617;80963;19;16591;4;20613;5;15802;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26648;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLN;;;;;;;;;;;;;;;
305;631019;Nüsttal;;1605;733;0;2338;1511;691;53;19800;14091;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5709;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CWE;;;;;;;;;;;;;;;
306;631020;Petersberg;;7653;5159;0;12812;7379;4928;188;244607;103470;16;32616;5;17993;3;;;16688;2;;;;;;;;;;;;;;;;;;;4852;1;;;;;;;;;19257;3;19267;3;30464;4;;;;;;;;;;;;;;;;;;;;;;;;;;;CWE;Die Linke.Offene Liste;Bürgerliste Petersberg;;;;;;;;;;;;;
307;631021;Poppenhausen (Wasserkuppe);;1232;937;0;2169;1553;890;17;22091;9947;7;;;;;;;;;;;;;8673;6;;;;;;;;;;;;;;;;;;;;;;;3471;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CWE;;;;;;;;;;;;;;;
308;631022;Rasdorf, Point-Alpha-Gemeinde;;712;582;0;1294;888;561;7;12503;9048;11;;;3455;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
309;631023;Tann (Rhön), Stadt;;2356;1288;0;3644;2147;1211;62;33366;13699;7;;;10423;5;;;9244;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310;632001;Alheim;;2582;1331;0;3913;2333;1273;61;49726;17466;8;5010;2;21653;10;;;5597;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
311;632002;Bad Hersfeld, Kreisstadt;;15588;7260;0;22848;10193;6721;331;361056;79127;9;45919;5;116821;13;;;41412;4;11434;1;;;;;;;;;;;;;;;;;;;;;;;;;;;27961;3;38382;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UBH;FWG;;;;;;;;;;;;;;
312;632003;Bebra, Stadt;;7085;3678;0;10763;5512;3473;153;183367;69945;14;10474;2;47435;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28963;6;26550;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GEMEINSAM;Die Besseren FWG;;;;;;;;;;;;;;
313;632004;Breitenbach am Herzberg;;982;470;0;1452;849;445;19;10408;;;;;4959;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5449;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BFH;;;;;;;;;;;;;;;
314;632005;Cornberg;;814;318;0;1132;613;302;9;6270;581;1;;;3159;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1901;3;629;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CBL;F.d.B.;;;;;;;;;;;;;;
315;632006;Friedewald;;1199;819;0;2018;1187;778;30;16377;;;;;9426;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6951;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OL;;;;;;;;;;;;;;;
316;632007;Hauneck;;1603;1006;0;2609;1584;960;40;27472;5483;4;;;13566;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8423;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
317;632008;Haunetal;;1618;768;0;2386;1604;734;31;22754;9295;6;;;6865;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6594;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GfH;;;;;;;;;;;;;;;
318;632009;Heringen (Werra), Stadt;;3831;2159;0;5990;3094;2038;85;86247;16369;6;;;45474;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24404;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WGH;;;;;;;;;;;;;;;
319;632010;Hohenroda;;1630;909;0;2539;1478;868;31;31361;3598;3;;;14195;10;;;3688;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9880;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWH;;;;;;;;;;;;;;;
320;632011;Kirchheim;;2062;983;0;3045;1742;923;67;36254;15909;10;;;20345;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321;632012;Ludwigsau;;2998;1551;0;4549;2681;1478;160;51908;;;;;47930;23;;;3978;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322;632013;Nentershausen;;1531;668;0;2199;1403;648;41;19760;6996;5;;;12764;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
323;632014;Neuenstein;;1909;803;0;2712;1496;772;42;20412;11779;9;;;8633;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
324;632015;Niederaula, Marktgemeinde;;2615;1726;0;4341;2575;1653;46;74750;7055;3;3879;2;28346;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20429;8;15041;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLN;WGN;;;;;;;;;;;;;;
325;632016;Philippsthal (Werra), Marktgemeinde;;2247;1193;0;3440;1902;1120;40;40013;8581;5;;;21153;12;;;753;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9526;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
326;632017;Ronshausen;;1005;952;0;1957;1345;915;16;19329;6274;5;;;9155;7;;;1044;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2856;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WGR;;;;;;;;;;;;;;;
327;632018;Rotenburg an der Fulda, Stadt;;7161;3678;0;10839;5650;3428;217;159122;44402;9;;;62340;12;;;11479;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40901;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UBR;;;;;;;;;;;;;;;
328;632019;Schenklengsfeld;;2119;1541;0;3660;2427;1455;82;50577;;;;;18344;8;;;;;;;;;;;;;5865;3;;;;;;;;;;;;;;;;;;;14555;7;11813;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Die Bürgerliste;ZuMIT;;;;;;;;;;;;;;
329;632020;Wildeck;;2463;1661;0;4124;2413;1590;50;52417;8627;4;3140;2;23204;10;;;2957;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14489;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
330;633001;Ahnatal;;4644;2062;0;6706;3722;1913;91;80809;25176;7;16148;4;33873;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5612;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
331;633002;Bad Karlshafen, Stadt;;2013;774;0;2787;1244;715;19;19638;5535;5;807;1;5391;4;898;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7007;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
332;633003;Baunatal, Stadt;;15919;6310;0;22229;9519;5751;388;393087;85174;10;76657;9;199986;23;;;31270;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
333;633004;Breuna;;1799;1144;0;2943;1807;1087;54;38144;14798;9;;;23346;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
