Gemeindewahl 2021 - Endgültiges Ergebnis - Stand: 23.06.2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
334;633005;Calden;;4100;1927;0;6027;2994;1804;88;83315;17512;6;;;42866;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22937;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
335;633006;Bad Emstal;;3443;1450;0;4893;2289;1360;75;52183;;;;;27095;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25088;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BBE;;;;;;;;;;;;;;;
336;633007;Espenau;;2812;1379;0;4191;2207;1289;74;47243;8609;4;;;13336;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19125;9;6173;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;GLE;;;;;;;;;;;;;;
337;633008;Fuldabrück;;3901;3383;0;7284;4103;3174;127;87120;22360;6;10897;3;44614;12;;;2508;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6741;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UBF;;;;;;;;;;;;;;;
338;633009;Fuldatal;;6617;3400;0;10017;4912;3113;222;157690;49717;12;32697;8;61988;14;;;10639;2;;;;;2649;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339;633010;Grebenstein, Stadt;;2882;1824;0;4706;2657;1718;59;74836;19200;8;;;30261;12;;;4659;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20716;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GsD;;;;;;;;;;;;;;;
340;633011;Habichtswald;;2805;1503;0;4308;2378;1396;53;50709;9972;5;4209;2;26852;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9676;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WGH;;;;;;;;;;;;;;;
341;633012;Helsa;;3150;1474;0;4624;2200;1376;50;46711;17341;9;;;20864;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6761;3;1745;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GLH;Die mit Herz;;;;;;;;;;;;;;
342;633013;Hofgeismar, Stadt;;8275;3708;0;11983;5615;3488;121;192183;74176;14;;;84446;16;;;9400;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24161;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WSD;;;;;;;;;;;;;;;
343;633014;Immenhausen, Stadt;;3703;2076;0;5779;3008;1963;93;62356;16407;6;;;26692;10;;;1117;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18140;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FL;;;;;;;;;;;;;;;
344;633015;Kaufungen;;7084;3384;0;10468;5279;3156;215;179835;39809;8;24330;5;61664;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32792;7;21240;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KWG;GLLK;;;;;;;;;;;;;;
345;633016;Liebenau, Stadt;;1824;774;0;2598;1502;729;20;21344;1841;1;;;6905;5;;;;;781;1;;;;;;;;;;;;;;;;;;;;;;;;;;;8787;6;3030;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;WfE;;;;;;;;;;;;;;
346;633017;Lohfelden;;7542;3347;0;10889;5082;3106;183;167967;37851;8;28582;6;78722;17;7129;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15683;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;U2L;;;;;;;;;;;;;;;
347;633018;Naumburg, Stadt;;2501;1749;0;4250;2463;1647;45;71197;29795;13;;;26965;12;;;;;2879;1;;;;;;;;;;;;;;;;;;;;;;;;;;;11558;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
348;633019;Nieste;;1145;476;0;1621;922;443;19;13142;3779;4;;;6873;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2490;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWN;;;;;;;;;;;;;;;
349;633020;Niestetal;;6012;3041;0;9053;4521;2832;119;129692;36126;9;20025;5;55182;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18359;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W.i.N.;;;;;;;;;;;;;;;
350;633022;Reinhardshagen;;2351;1278;0;3629;1851;1216;32;40001;2149;1;;;12502;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25350;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWG;;;;;;;;;;;;;;;
351;633023;Schauenburg;;5860;2821;0;8681;4691;2643;136;159450;37093;9;22652;5;61031;14;;;;;6866;2;;;;;;;;;;;;;;;;;;;;;;;;;;;31808;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OFFENSIVE;;;;;;;;;;;;;;;
352;633024;Söhrewald;;2575;1293;0;3868;2100;1203;59;44848;7987;4;;;23735;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13126;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UNS;;;;;;;;;;;;;;;
353;633025;Trendelburg, Stadt;;2649;1498;0;4147;2464;1435;41;52958;9883;4;;;18223;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24852;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG Trendelburg;;;;;;;;;;;;;;;
354;633026;Vellmar, Stadt;;10760;3899;0;14659;6481;3582;172;216460;63983;11;42102;7;103061;18;7314;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355;633028;Wolfhagen, Hans-Staden-Stadt;;7019;3261;0;10280;5394;3058;142;154833;48912;10;23395;5;52624;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25076;5;4826;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BWB;AGW;;;;;;;;;;;;;;
356;633029;Zierenberg, Stadt;;3532;1877;0;5409;2941;1758;87;84977;17110;6;9964;4;25628;9;;;4073;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11311;4;16891;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UFW;ZieLe;;;;;;;;;;;;;;
357;633030;Wesertal;;3321;1003;0;4324;2299;950;31;64148;7123;4;;;29617;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27408;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG Wesertal;;;;;;;;;;;;;;;
358;634001;Borken (Hessen), Stadt;;6278;3645;0;9923;5525;3421;191;177986;27998;6;;;62386;13;;;4178;1;1610;0;;;;;;;;;;;;;;;;;;;;;;;;;;;81814;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
359;634002;Edermünde;;3349;2659;0;6008;3546;2509;116;102025;20491;6;18262;6;43956;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13518;4;5798;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;BLE;;;;;;;;;;;;;;
360;634003;Felsberg, Stadt;;5619;2892;0;8511;4743;2707;167;132060;27407;6;19925;5;47190;11;;;8265;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29273;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ULF;;;;;;;;;;;;;;;
361;634004;Frielendorf, Marktflecken;;4003;2039;0;6042;3242;1846;91;73892;14857;5;;;36754;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22281;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWGF;;;;;;;;;;;;;;;
362;634005;Fritzlar, Dom- und Kaiserstadt ;;7532;4199;0;11731;6383;3945;206;214633;91122;16;30402;5;57103;10;;;8514;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27492;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW Fritzlar;;;;;;;;;;;;;;;
363;634006;Gilserberg;;1612;815;0;2427;1521;782;39;21366;7315;5;;;7373;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6678;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLH;;;;;;;;;;;;;;;
364;634007;Gudensberg, Stadt;;5030;2837;0;7867;4102;2630;106;117537;19494;5;14620;4;42968;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9254;3;31201;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BG;FWG Gudensberg;;;;;;;;;;;;;;
365;634008;Guxhagen;;2435;1964;0;4399;2718;1873;60;77922;8871;4;10320;4;35311;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23420;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GL-FWG;;;;;;;;;;;;;;;
366;634009;Homberg (Efze), Reformationsstadt, Kreisstadt;;7702;3173;0;10875;5170;3109;192;170349;49349;11;19829;4;53102;12;;;10521;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37548;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
367;634010;Jesberg;;1050;849;0;1899;1206;809;24;16912;5295;5;1676;1;7931;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL WfJ;;;;;;;;;;;;;;;
368;634011;Knüllwald;;2390;1340;0;3730;2228;1284;68;46459;6689;3;;;17497;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9241;5;13032;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UKW;Gut für Knüllwald;;;;;;;;;;;;;;
369;634012;Körle;;1480;1010;0;2490;1576;957;64;21459;8572;6;;;12887;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370;634013;Malsfeld;;1827;1406;0;3233;2109;1380;58;44894;5135;3;;;17145;9;;;4655;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11043;6;6916;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GL;GiB;;;;;;;;;;;;;;
371;634014;Melsungen, Stadt;;6504;4222;0;10726;6014;3946;222;200794;31059;6;30473;6;74474;14;;;39967;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24821;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
372;634015;Morschen;;1798;920;0;2718;1602;882;36;25474;1386;1;;;9159;6;;;4129;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10800;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW-Morschen;;;;;;;;;;;;;;;
373;634016;Neuental;;1401;1162;0;2563;1635;1080;52;33935;9861;7;;;13825;9;;;2592;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7657;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL;;;;;;;;;;;;;;;
374;634017;Neukirchen, Stadt;;3622;1861;0;5483;2828;1830;88;79570;21518;8;4940;2;23525;9;;;9720;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10501;4;9366;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UBL;FWG;;;;;;;;;;;;;;
375;634018;Niedenstein, Stadt;;2538;1935;0;4473;2677;1823;68;56813;10508;4;9578;4;15651;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21076;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
376;634019;Oberaula;;1539;1132;0;2671;1529;1082;43;32523;17044;12;;;10804;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4675;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FLO;;;;;;;;;;;;;;;
377;634020;Ottrau;;948;844;0;1792;1219;818;18;17375;5243;4;;;4318;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3051;3;4763;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWG;FWG;;;;;;;;;;;;;;
378;634021;Schrecksbach;;1623;904;0;2527;1418;857;32;22095;4081;3;;;11816;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6198;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWG;;;;;;;;;;;;;;;
379;634022;Schwalmstadt, Konfirmationsstadt;;9490;4854;0;14344;6867;4475;185;232489;51203;8;21114;3;67943;11;;;16504;3;7891;1;;;40784;7;;;;;;;;;;;;;;;;;;;;;;;27050;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BfS;;;;;;;;;;;;;;;
380;634023;Schwarzenborn, Stadt;;587;338;0;925;515;323;15;7369;2095;4;;;2948;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2326;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UBL;;;;;;;;;;;;;;;
381;634024;Spangenberg, Liebenbachstadt;;3336;1484;0;4820;2659;1409;118;54012;17527;8;;;29248;12;;;7237;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382;634025;Wabern;;3901;2114;0;6015;3272;1976;117;91428;15679;5;;;38263;13;;;4808;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32678;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
383;634026;Willingshausen;;2250;1720;0;3970;2362;1616;56;49678;15702;7;;;17066;8;;;827;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9622;5;6461;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BGL/FWG;FFW;;;;;;;;;;;;;;
384;634027;Bad Zwesten;;1948;1213;0;3161;1801;1115;44;38665;11362;7;7197;4;14424;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5682;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL;;;;;;;;;;;;;;;
385;635001;Allendorf (Eder);;2896;1355;0;4251;2141;1300;40;60876;22020;11;;;12823;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26033;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLO;;;;;;;;;;;;;;;
386;635002;Bad Arolsen, Stadt;;8714;3912;0;12626;5988;3663;194;200325;67478;12;31232;6;47775;9;;;15889;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20364;4;17587;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;OL;;;;;;;;;;;;;;
387;635003;Bad Wildungen, Stadt;;10211;3594;0;13805;6086;3244;241;200352;63967;12;31175;6;47501;9;;;13844;2;8868;2;;;34997;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
388;635004;Battenberg (Eder), Stadt;;2824;1489;0;4313;2436;1418;54;68025;11101;5;;;10817;5;2264;1;4271;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15129;7;11868;5;12143;6;432;0;;;;;;;;;;;;;;;;;;;;;;;;;BLB;BLLFB;BLD;LuB;;;;;;;;;;;;
389;635005;Bromskirchen;;1042;489;0;1531;838;463;21;11489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8612;11;2877;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLB;BLS;;;;;;;;;;;;;;
390;635006;Burgwald;;2704;1244;0;3948;2230;1195;46;47502;4687;2;;;5919;3;;;1319;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9646;5;10925;5;8194;4;4001;2;2811;1;;;;;;;;;;;;;;;;;;;;;;;BLE;WGBo;FWG;BLB;BfU;;;;;;;;;;;
391;635007;Diemelsee;;2516;1364;0;3880;2549;1295;66;54201;15201;7;;;17294;7;;;11800;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9906;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
392;635008;Diemelstadt, Stadt;;2487;1697;0;4184;2379;1614;55;54439;16192;7;5066;2;16425;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16756;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
393;635009;Edertal, Nationalparkgemeinde;;2845;2381;0;5226;3332;2227;100;94530;17700;6;13443;4;27303;9;;;7132;2;;;;;18036;6;;;;;;;;;;;;;;;;;;;;;;;10916;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WIR;;;;;;;;;;;;;;;
394;635010;Frankenau, Nationalparkstadt;;1343;934;0;2277;1569;1012;30;22256;2202;2;;;7650;5;;;;;;;495;0;;;;;;;;;;;;;;;;;;;;;;;;;7597;5;4312;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FB;GLF;;;;;;;;;;;;;;
395;635011;Frankenberg (Eder), Philipp-Soldan-Stadt;;10414;3799;0;14213;6697;3510;218;188820;66543;11;36770;6;42802;7;;;13498;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29207;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWF;;;;;;;;;;;;;;;
396;635012;Gemünden (Wohra), Stadt;;2079;946;0;3025;1539;895;42;33274;14981;10;;;4898;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13395;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL;;;;;;;;;;;;;;;
397;635013;Haina (Kloster);;1946;922;0;2868;1598;876;25;33975;;;;;10818;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7398;5;6416;5;9343;6;;;;;;;;;;;;;;;;;;;;;;;;;;;FBL;BGH;UBK;;;;;;;;;;;;;
398;635014;Hatzfeld (Eder), Stadt;;1565;877;0;2442;1457;837;22;20728;3264;2;;;2439;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5290;4;5084;4;3051;2;1600;1;;;;;;;;;;;;;;;;;;;;;;;;;BL;BLR;BLH;BLE;;;;;;;;;;;;
399;635015;Korbach, Hansestadt, Kreisstadt;;12862;5206;0;18068;8158;4858;276;229418;56649;8;36293;5;54803;7;;;24495;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40682;6;16496;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;Die aktiven Bürger;;;;;;;;;;;;;;
400;635016;Lichtenfels, Stadt;;1810;1469;0;3279;2153;1391;81;45154;11880;6;3569;2;7063;3;;;9248;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12123;6;1271;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WGL;BL;;;;;;;;;;;;;;
401;635017;Rosenthal, Stadt;;1196;550;0;1746;1064;522;24;14798;5498;5;;;;;;;5604;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3696;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLR;;;;;;;;;;;;;;;
402;635018;Twistetal;;2149;1324;0;3473;2162;1268;78;44814;14700;7;5769;3;8376;4;;;8989;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6980;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WGT;;;;;;;;;;;;;;;
403;635019;Vöhl, Nationalparkgemeinde;;3087;1524;0;4611;2769;1450;61;77931;17253;7;;;24775;10;;;6968;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18846;7;10089;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;BI-Grüne Liste Vöhl;;;;;;;;;;;;;;
404;635020;Volkmarsen, Stadt;;3543;1950;0;5493;3068;1857;54;89505;30037;10;11236;4;19154;7;5679;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23399;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
405;635021;Waldeck, Stadt;;3514;2233;0;5747;3401;2131;74;96370;32340;10;17671;6;20327;7;;;10579;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15453;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
406;635022;Willingen (Upland);;3244;1768;0;5012;2739;1668;38;78044;24215;10;;;16888;7;;;20683;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16258;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
407;636001;Bad Sooden-Allendorf, Stadt;;3817;2788;0;6605;4282;3023;162;104296;46963;12;17660;5;24690;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14983;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG-BSA;;;;;;;;;;;;;;;
408;636002;Berkatal;;708;526;0;1234;840;505;16;11877;3717;5;;;4007;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4153;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜWG;;;;;;;;;;;;;;;
409;636003;Eschwege, Kreisstadt;;9983;5694;0;15677;7974;5229;232;266394;117901;16;28636;4;83983;12;;;11803;2;9946;1;;;;;;;;;;;;;;;;;;;;;;;;;;;14125;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
410;636004;Großalmerode, Stadt;;3375;1972;0;5347;2729;1828;65;76866;9653;4;;;29379;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37834;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WG;;;;;;;;;;;;;;;
411;636005;Herleshausen;;1610;693;0;2303;1366;675;29;19177;5811;5;;;6403;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6963;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WSRG;;;;;;;;;;;;;;;
412;636006;Hessisch Lichtenau, Stadt;;6708;3267;0;9975;4824;3069;207;159157;41508;10;;;56929;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16921;4;25336;6;18463;4;;;;;;;;;;;;;;;;;;;;;;;;;;;Bürgerliste;FWG;GLB;;;;;;;;;;;;;
413;636007;Meinhard;;2370;1508;0;3878;2455;1436;68;51537;7784;3;;;21625;10;;;3825;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18303;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜWG-Meinhard;;;;;;;;;;;;;;;
414;636008;Meißner;;1437;1095;0;2532;1723;1024;38;24036;5601;3;;;12826;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5609;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜWG;;;;;;;;;;;;;;;
415;636009;Neu-Eichenberg;;1018;508;0;1526;1056;497;22;15236;1988;2;2504;2;4566;5;;;;;693;1;;;;;;;;;;;;;;;;;;;;;;;;;;;5485;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MfNEB;;;;;;;;;;;;;;;
416;636010;Ringgau;;1617;826;0;2443;1621;793;43;22576;4049;3;;;6213;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6555;4;5759;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜWG Ringgau;ILR;;;;;;;;;;;;;;
417;636011;Sontra, Stadt;;4844;1282;0;6126;3015;1206;97;83420;22160;8;;;49755;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11505;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bürger für Sontra;;;;;;;;;;;;;;;
418;636012;Waldkappel, Stadt;;2702;933;0;3635;2154;1046;65;45786;12815;6;4999;3;14746;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13226;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜWG;;;;;;;;;;;;;;;
419;636013;Wanfried, Stadt;;2223;1261;0;3484;2114;1179;32;37076;19636;10;;;10723;6;;;;;2042;1;;;;;;;;;;;;;;;;;;;;;;;;;;;4675;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
420;636014;Wehretal;;2460;1648;0;4108;2410;1528;50;51158;9815;4;;;22450;10;;;1861;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17032;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG-W;;;;;;;;;;;;;;;
421;636015;Weißenborn;;528;320;0;848;525;311;11;7249;1392;3;;;2471;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3386;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
422;636016;Witzenhausen, Stadt;;8070;4097;0;12167;6857;3787;258;229173;54883;9;42568;7;65501;11;;;15457;2;8515;1;;;;;;;6833;1;;;;;;;;;;;;;;;;;;;18941;3;16475;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;AfW;;;;;;;;;;;;;;
